timestamp,asset_id,soc,soh,temperature,power,status,data_quality_flag
2025-12-01T00:00:00+00:00,rack_01,57.83,99.9905,27.82,0.00,idle,ok
2025-12-01T00:00:00+00:00,rack_02,56.84,100.0000,30.14,0.00,idle,ok
2025-12-01T00:15:00+00:00,rack_01,60.57,99.9917,28.06,10.93,charging,ok
2025-12-01T00:15:00+00:00,rack_02,58.50,99.9944,30.12,6.65,charging,ok
2025-12-01T00:30:00+00:00,rack_01,60.61,99.9939,28.35,0.16,idle,ok
2025-12-01T00:30:00+00:00,rack_02,61.85,99.9944,30.31,13.41,charging,ok
2025-12-01T00:45:00+00:00,rack_01,64.58,99.9901,28.60,15.91,charging,ok
2025-12-01T00:45:00+00:00,rack_02,64.32,99.9967,30.08,9.86,charging,ok
2025-12-01T01:00:00+00:00,rack_01,67.01,99.9966,28.14,9.70,charging,ok
2025-12-01T01:00:00+00:00,rack_02,64.94,100.0000,30.55,2.51,charging,ok
2025-12-01T01:15:00+00:00,rack_01,68.68,100.0000,28.61,6.70,charging,ok
2025-12-01T01:15:00+00:00,rack_02,69.08,99.9975,30.62,16.55,charging,ok
2025-12-01T01:30:00+00:00,rack_01,70.73,100.0000,28.98,8.18,charging,ok
2025-12-01T01:30:00+00:00,rack_02,70.12,100.0000,30.33,4.16,charging,ok
2025-12-01T01:45:00+00:00,rack_01,71.22,99.9956,28.46,1.97,idle,ok
2025-12-01T01:45:00+00:00,rack_02,71.23,99.9919,30.62,4.44,charging,ok
2025-12-01T02:00:00+00:00,rack_01,74.08,99.9971,28.80,11.42,charging,ok
2025-12-01T02:00:00+00:00,rack_02,73.05,99.9952,31.25,7.28,charging,ok
2025-12-01T02:15:00+00:00,rack_01,75.91,100.0000,28.74,7.34,charging,ok
2025-12-01T02:15:00+00:00,rack_02,76.11,99.9931,30.90,12.21,charging,ok
2025-12-01T02:30:00+00:00,rack_01,78.46,100.0000,29.14,10.19,charging,ok
2025-12-01T02:30:00+00:00,rack_02,77.73,100.0000,31.32,6.49,charging,ok
2025-12-01T02:45:00+00:00,rack_01,78.28,99.9904,29.04,-0.72,idle,ok
2025-12-01T02:45:00+00:00,rack_02,78.37,99.9940,31.54,2.57,charging,ok
2025-12-01T03:00:00+00:00,rack_01,81.38,99.9960,29.40,12.42,charging,ok
2025-12-01T03:00:00+00:00,rack_02,80.23,100.0000,31.24,7.44,charging,ok
2025-12-01T03:15:00+00:00,rack_01,81.37,99.9947,29.40,-0.05,idle,ok
2025-12-01T03:15:00+00:00,rack_02,81.37,100.0000,31.67,4.54,charging,ok
